player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB
Jeff Barry,104,245,217,25,53,18,0,5,28,0,4,22,48,0.244,0.314,0.396,0.711,86,4,2,0,4,1.0,0.24423963133640553,0.08294930875576037,0.0,0.02304147465437788,0.0,0.10138248847926268,0.22119815668202766
Frank Bolick,116,298,258,28,52,15,0,5,26,1,0,34,45,0.20199999999999999,0.302,0.318,0.62,82,5,4,0,2,2.0,0.20155038759689922,0.05813953488372093,0.0,0.01937984496124031,0.0002630194634402946,0.13178294573643412,0.1744186046511628
Brian Banks,273,569,495,65,122,19,3,13,64,8,3,62,129,0.24600000000000002,0.33,0.376,0.706,186,7,2,5,5,6.0,0.24646464646464647,0.03838383838383838,0.006060606060606061,0.026262626262626262,0.0021041557075223566,0.12525252525252525,0.2606060606060606
Melvin Nieves,458,1392,1228,163,284,53,6,63,187,4,12,136,483,0.231,0.314,0.43799999999999994,0.752,538,25,17,1,10,9.0,0.23127035830618892,0.04315960912052117,0.004885993485342019,0.05130293159609121,0.0010520778537611783,0.11074918566775244,0.3933224755700326
Sherman Obando,177,394,355,41,85,13,0,13,49,3,0,34,100,0.239,0.31,0.386,0.696,137,3,3,0,2,1.0,0.23943661971830985,0.036619718309859155,0.0,0.036619718309859155,0.0007890583903208837,0.09577464788732394,0.28169014084507044
Nigel Wilson,22,36,35,2,3,0,0,2,5,0,0,1,21,0.086,0.111,0.257,0.368,9,0,0,0,0,0.0,0.08571428571428572,0.0,0.0,0.05714285714285714,0.0,0.02857142857142857,0.6
Orlando Merced,1391,4530,3998,564,1108,229,28,103,585,57,29,487,661,0.27699999999999997,0.355,0.426,0.7809999999999999,1702,89,12,3,30,53.0,0.2771385692846423,0.05727863931965983,0.007003501750875438,0.02576288144072036,0.01499210941609679,0.12181090545272637,0.1653326663331666
Troy Neel,230,861,758,110,212,37,0,37,120,5,9,92,177,0.28,0.36200000000000004,0.475,0.8370000000000001,360,12,7,1,3,10.0,0.2796833773087071,0.048812664907651716,0.0,0.048812664907651716,0.0013150973172014729,0.12137203166226913,0.23350923482849603
Jon Nunnally,364,1048,885,162,218,47,12,42,125,19,12,146,239,0.24600000000000002,0.354,0.469,0.823,415,11,5,6,6,10.0,0.24632768361581922,0.05310734463276836,0.013559322033898305,0.04745762711864407,0.004997369805365597,0.16497175141242937,0.27005649717514124
Andy Abad,15,25,21,1,2,0,0,0,0,0,1,4,5,0.095,0.24,0.095,0.335,2,1,0,0,0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.19047619047619047,0.23809523809523808
Phil Clark,264,588,543,62,150,30,0,17,65,4,4,27,76,0.276,0.317,0.425,0.743,231,9,9,2,7,5.0,0.27624309392265195,0.055248618784530384,0.0,0.03130755064456722,0.0010520778537611783,0.049723756906077346,0.13996316758747698
Tony Fernandez,2158,8793,7911,1057,2276,414,92,94,844,246,138,690,784,0.28800000000000003,0.34700000000000003,0.39899999999999997,0.746,3156,161,64,67,61,48.0,0.2877006699532297,0.05233219567690557,0.011629376817090128,0.011882189356592087,0.06470278800631246,0.08722032612817596,0.09910251548476805
Reggie Jefferson,680,2306,2123,285,637,131,11,72,300,2,5,146,451,0.3,0.349,0.474,0.823,1006,63,20,4,13,25.0,0.30004710315591143,0.06170513424399435,0.0051813471502590676,0.03391427225624117,0.0005260389268805891,0.06877060763071126,0.21243523316062177
