player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
Jeff Barry,53,170,144,21,36,5,2,3,16,4,1,26,29,0.25,0.365,0.375,0.74,54,5,0,0,0,0.0,0.25,0.034722222222222224,0.013888888888888888,0.020833333333333332,0.0017196904557179708,0.18055555555555555,0.2013888888888889
Frank Bolick,424,1764,1443,238,384,90,4,92,288,5,2,297,341,0.266,0.392,0.525,0.9179999999999999,758,47,11,0,13,14.0,0.2661122661122661,0.062370062370062374,0.002772002772002772,0.06375606375606375,0.0021496130696474634,0.20582120582120583,0.2363132363132363
Brian Banks,32,83,74,6,11,2,0,0,4,0,0,8,23,0.149,0.24100000000000002,0.17600000000000002,0.41700000000000004,13,1,1,0,0,0.0,0.14864864864864866,0.02702702702702703,0.0,0.0,0.0,0.10810810810810811,0.3108108108108108
Melvin Nieves,175,577,477,69,113,24,1,32,81,1,1,93,198,0.237,0.369,0.493,0.862,235,10,7,0,0,2.0,0.23689727463312368,0.050314465408805034,0.0020964360587002098,0.06708595387840671,0.0004299226139294927,0.1949685534591195,0.41509433962264153
Sherman Obando,437,1780,1558,233,458,71,3,102,314,6,6,190,289,0.294,0.376,0.54,0.9159999999999999,841,42,22,0,10,12.0,0.2939666238767651,0.045571245186136075,0.0019255455712451862,0.06546854942233633,0.0025795356835769563,0.12195121951219512,0.18549422336328628
Nigel Wilson,461,1903,1678,232,444,65,1,119,337,2,4,183,446,0.265,0.34600000000000003,0.517,0.8640000000000001,868,27,32,0,10,23.0,0.26460071513706795,0.03873659117997616,0.0005959475566150178,0.07091775923718713,0.0008598452278589854,0.10905840286054827,0.265792610250298
Orlando Merced,23,85,80,9,18,2,1,2,15,0,0,4,14,0.225,0.259,0.35,0.609,28,0,0,0,1,0.0,0.225,0.025,0.0125,0.025,0.0,0.05,0.175
Troy Neel,614,2522,2117,301,558,98,2,136,435,4,7,354,630,0.264,0.37799999999999995,0.504,0.882,1068,44,41,0,10,21.0,0.26358053849787433,0.046291922531884744,0.000944733112895607,0.06424185167690127,0.0017196904557179708,0.16721776098252245,0.2975909305621162
Jon Nunnally,42,134,115,18,19,7,0,5,15,2,0,19,44,0.165,0.284,0.35700000000000004,0.64,41,3,0,0,0,1.0,0.16521739130434782,0.06086956521739131,0.0,0.043478260869565216,0.0008598452278589854,0.16521739130434782,0.3826086956521739
Andy Abad,32,102,92,7,15,1,0,4,13,0,0,9,17,0.163,0.235,0.304,0.54,28,1,0,0,1,0.0,0.16304347826086957,0.010869565217391304,0.0,0.043478260869565216,0.0,0.09782608695652174,0.18478260869565216
Phil Clark,470,2003,1818,239,555,116,4,93,324,5,8,140,233,0.305,0.361,0.527,0.888,958,75,28,0,17,23.0,0.30528052805280526,0.0638063806380638,0.0022002200220022,0.05115511551155116,0.0021496130696474634,0.07700770077007701,0.12816281628162815
Tony Fernandez,103,440,370,64,121,24,1,11,74,2,4,58,47,0.327,0.418,0.486,0.905,180,10,5,0,7,9.0,0.327027027027027,0.06486486486486487,0.002702702702702703,0.02972972972972973,0.0008598452278589854,0.15675675675675677,0.12702702702702703
Reggie Jefferson,89,311,281,27,73,12,0,10,48,0,0,24,75,0.26,0.32299999999999995,0.409,0.732,115,13,3,1,2,0.0,0.2597864768683274,0.042704626334519574,0.0,0.03558718861209965,0.0,0.08540925266903915,0.2669039145907473
Derrick May,298,1222,1098,129,301,65,1,59,200,2,4,103,183,0.27399999999999997,0.34299999999999997,0.496,0.8390000000000001,545,22,15,0,6,6.0,0.27413479052823314,0.05919854280510018,0.0009107468123861566,0.05373406193078324,0.0008598452278589854,0.09380692167577413,0.16666666666666666
Pedro Valdes,116,512,435,50,123,15,0,13,72,4,1,70,49,0.28300000000000003,0.381,0.40700000000000003,0.7879999999999999,177,14,2,0,5,4.0,0.2827586206896552,0.034482758620689655,0.0,0.029885057471264367,0.0017196904557179708,0.16091954022988506,0.11264367816091954
Joe Vitiello,126,462,407,52,112,21,0,22,83,0,0,36,125,0.275,0.35100000000000003,0.489,0.84,199,8,14,0,5,2.0,0.2751842751842752,0.051597051597051594,0.0,0.05405405405405406,0.0,0.08845208845208845,0.3071253071253071
Shawn Gilbert,76,292,255,32,68,18,1,6,24,3,1,28,64,0.267,0.34700000000000003,0.41600000000000004,0.763,106,7,5,1,3,0.0,0.26666666666666666,0.07058823529411765,0.00392156862745098,0.023529411764705882,0.0012897678417884782,0.10980392156862745,0.25098039215686274
Alex Cabrera,1239,5257,4510,753,1368,221,6,357,949,14,16,667,1143,0.303,0.39799999999999996,0.5920000000000001,0.99,2672,106,57,0,23,95.0,0.3033259423503326,0.04900221729490022,0.0013303769401330377,0.07915742793791575,0.0060189165950128975,0.14789356984478935,0.25343680709534366
Scott McClain,434,1654,1439,191,340,70,0,89,223,6,9,201,391,0.23600000000000002,0.331,0.47,0.802,677,30,7,0,7,14.0,0.23627519110493397,0.048644892286309936,0.0,0.06184850590687978,0.0025795356835769563,0.13968033356497567,0.2717164697706741
Morgan Burkhart,42,140,126,14,27,1,0,9,18,0,0,9,40,0.214,0.293,0.43700000000000006,0.7290000000000001,55,3,5,0,0,1.0,0.21428571428571427,0.007936507936507936,0.0,0.07142857142857142,0.0,0.07142857142857142,0.31746031746031744
D.T. Cromer,181,723,662,69,154,32,4,27,79,6,8,51,201,0.233,0.293,0.415,0.7090000000000001,275,7,7,0,3,2.0,0.2326283987915408,0.04833836858006042,0.006042296072507553,0.04078549848942598,0.0025795356835769563,0.0770392749244713,0.30362537764350456
Fernando Seguignol,767,3042,2656,369,724,138,0,172,483,3,2,313,738,0.273,0.36,0.519,0.879,1378,72,59,0,14,34.0,0.27259036144578314,0.051957831325301206,0.0,0.06475903614457831,0.0012897678417884782,0.11784638554216867,0.27786144578313254
Scott Sheldon,189,751,683,92,174,37,1,34,83,8,5,55,220,0.255,0.317,0.461,0.778,315,15,8,3,2,5.0,0.2547584187408492,0.05417276720351391,0.0014641288433382138,0.04978038067349927,0.0034393809114359416,0.08052708638360176,0.32210834553440704
Rick Short,546,2134,1966,200,617,128,2,35,229,18,12,128,230,0.314,0.361,0.434,0.795,854,71,23,6,11,7.0,0.3138351983723296,0.06510681586978637,0.001017293997965412,0.01780264496439471,0.007738607050730868,0.06510681586978637,0.11698880976602238
Bry Nelson,54,176,167,18,38,7,0,3,17,2,2,7,29,0.228,0.256,0.32299999999999995,0.579,54,8,0,0,2,0.0,0.2275449101796407,0.041916167664670656,0.0,0.017964071856287425,0.0008598452278589854,0.041916167664670656,0.17365269461077845
