player in MLB,G_MLB,PA_MLB,AB_MLB,R_MLB,H_MLB,2B_MLB,3B_MLB,HR_MLB,RBI_MLB,SB_MLB,CS_MLB,BB_MLB,SO_MLB,BA_MLB,OBP_MLB,SLG_MLB,OPS_MLB,TB_MLB,GDP_MLB,HBP_MLB,SH_MLB,SF_MLB,IBB_MLB,HitperABMLB,TwoBaseHitABMLB,ThreeBaseHitABMLB,HRperABMLB,StolenBasePercentageMLB,BaseOnBallPercentageMLB,StrikeoutPercentageMLB,player in NPB,G_NPB,PA_NPB,AB_NPB,R_NPB,H_NPB,2B_NPB,3B_NPB,HR_NPB,RBI_NPB,SB_NPB,CS_NPB,BB_NPB,SO_NPB,BA_NPB,OBP_NPB,SLG_NPB,OPS_NPB,TB_NPB,GDP_NPB,HBP_NPB,SH_NPB,SF_NPB,IBB_NPB,HitperABNPB,TwoBaseHitABNPB,ThreeBaseHitABNPB,HRperABNPB,StolenBasePercentageNPB,BaseOnBallPercentageNPB,StrikeoutPercentageNPB
Jeff Barry,104,245,217,25,53,18,0,5,28,0,4,22,48,0.244,0.314,0.396,0.711,86,4,2,0,4,1.0,0.24423963133640553,0.08294930875576037,0.0,0.02304147465437788,0.0,0.10138248847926268,0.22119815668202766,Jeff Barry,53,170,144,21,36,5,2,3,16,4,1,26,29,0.25,0.365,0.375,0.74,54,5,0,0,0,0.0,0.25,0.034722222222222224,0.013888888888888888,0.020833333333333332,0.0017196904557179708,0.18055555555555555,0.2013888888888889
Frank Bolick,116,298,258,28,52,15,0,5,26,1,0,34,45,0.20199999999999999,0.302,0.318,0.62,82,5,4,0,2,2.0,0.20155038759689922,0.05813953488372093,0.0,0.01937984496124031,0.0002630194634402946,0.13178294573643412,0.1744186046511628,Frank Bolick,424,1764,1443,238,384,90,4,92,288,5,2,297,341,0.266,0.392,0.525,0.9179999999999999,758,47,11,0,13,14.0,0.2661122661122661,0.062370062370062374,0.002772002772002772,0.06375606375606375,0.0021496130696474634,0.20582120582120583,0.2363132363132363
Brian Banks,273,569,495,65,122,19,3,13,64,8,3,62,129,0.24600000000000002,0.33,0.376,0.706,186,7,2,5,5,6.0,0.24646464646464647,0.03838383838383838,0.006060606060606061,0.026262626262626262,0.0021041557075223566,0.12525252525252525,0.2606060606060606,Brian Banks,32,83,74,6,11,2,0,0,4,0,0,8,23,0.149,0.24100000000000002,0.17600000000000002,0.41700000000000004,13,1,1,0,0,0.0,0.14864864864864866,0.02702702702702703,0.0,0.0,0.0,0.10810810810810811,0.3108108108108108
Melvin Nieves,458,1392,1228,163,284,53,6,63,187,4,12,136,483,0.231,0.314,0.43799999999999994,0.752,538,25,17,1,10,9.0,0.23127035830618892,0.04315960912052117,0.004885993485342019,0.05130293159609121,0.0010520778537611783,0.11074918566775244,0.3933224755700326,Melvin Nieves,175,577,477,69,113,24,1,32,81,1,1,93,198,0.237,0.369,0.493,0.862,235,10,7,0,0,2.0,0.23689727463312368,0.050314465408805034,0.0020964360587002098,0.06708595387840671,0.0004299226139294927,0.1949685534591195,0.41509433962264153
Sherman Obando,177,394,355,41,85,13,0,13,49,3,0,34,100,0.239,0.31,0.386,0.696,137,3,3,0,2,1.0,0.23943661971830985,0.036619718309859155,0.0,0.036619718309859155,0.0007890583903208837,0.09577464788732394,0.28169014084507044,Sherman Obando,437,1780,1558,233,458,71,3,102,314,6,6,190,289,0.294,0.376,0.54,0.9159999999999999,841,42,22,0,10,12.0,0.2939666238767651,0.045571245186136075,0.0019255455712451862,0.06546854942233633,0.0025795356835769563,0.12195121951219512,0.18549422336328628
Nigel Wilson,22,36,35,2,3,0,0,2,5,0,0,1,21,0.086,0.111,0.257,0.368,9,0,0,0,0,0.0,0.08571428571428572,0.0,0.0,0.05714285714285714,0.0,0.02857142857142857,0.6,Nigel Wilson,461,1903,1678,232,444,65,1,119,337,2,4,183,446,0.265,0.34600000000000003,0.517,0.8640000000000001,868,27,32,0,10,23.0,0.26460071513706795,0.03873659117997616,0.0005959475566150178,0.07091775923718713,0.0008598452278589854,0.10905840286054827,0.265792610250298
Orlando Merced,1391,4530,3998,564,1108,229,28,103,585,57,29,487,661,0.27699999999999997,0.355,0.426,0.7809999999999999,1702,89,12,3,30,53.0,0.2771385692846423,0.05727863931965983,0.007003501750875438,0.02576288144072036,0.01499210941609679,0.12181090545272637,0.1653326663331666,Orlando Merced,23,85,80,9,18,2,1,2,15,0,0,4,14,0.225,0.259,0.35,0.609,28,0,0,0,1,0.0,0.225,0.025,0.0125,0.025,0.0,0.05,0.175
Troy Neel,230,861,758,110,212,37,0,37,120,5,9,92,177,0.28,0.36200000000000004,0.475,0.8370000000000001,360,12,7,1,3,10.0,0.2796833773087071,0.048812664907651716,0.0,0.048812664907651716,0.0013150973172014729,0.12137203166226913,0.23350923482849603,Troy Neel,614,2522,2117,301,558,98,2,136,435,4,7,354,630,0.264,0.37799999999999995,0.504,0.882,1068,44,41,0,10,21.0,0.26358053849787433,0.046291922531884744,0.000944733112895607,0.06424185167690127,0.0017196904557179708,0.16721776098252245,0.2975909305621162
Jon Nunnally,364,1048,885,162,218,47,12,42,125,19,12,146,239,0.24600000000000002,0.354,0.469,0.823,415,11,5,6,6,10.0,0.24632768361581922,0.05310734463276836,0.013559322033898305,0.04745762711864407,0.004997369805365597,0.16497175141242937,0.27005649717514124,Jon Nunnally,42,134,115,18,19,7,0,5,15,2,0,19,44,0.165,0.284,0.35700000000000004,0.64,41,3,0,0,0,1.0,0.16521739130434782,0.06086956521739131,0.0,0.043478260869565216,0.0008598452278589854,0.16521739130434782,0.3826086956521739
Andy Abad,15,25,21,1,2,0,0,0,0,0,1,4,5,0.095,0.24,0.095,0.335,2,1,0,0,0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.19047619047619047,0.23809523809523808,Andy Abad,32,102,92,7,15,1,0,4,13,0,0,9,17,0.163,0.235,0.304,0.54,28,1,0,0,1,0.0,0.16304347826086957,0.010869565217391304,0.0,0.043478260869565216,0.0,0.09782608695652174,0.18478260869565216
